number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_feature_fraction,params_learning_rate,params_max_depth,params_min_child_samples,params_num_leaves,params_reg_lambda,state
74,0.5041758828560586,2025-06-12 19:34:40.358409,2025-06-12 19:41:18.127682,0 days 00:06:37.769273,0.8979624760444855,0.6309270698878522,0.01285680617926513,12,56,186,2.683969297874919e-08,COMPLETE
75,0.5034521310560682,2025-06-12 19:41:18.128750,2025-06-12 19:47:03.459062,0 days 00:05:45.330312,0.8260034604739496,0.5803471820882729,0.021033009770851246,7,26,203,6.155443052369062e-08,COMPLETE
76,0.5044537064236441,2025-06-12 19:47:03.460122,2025-06-12 19:52:12.484986,0 days 00:05:09.024864,0.7912275983885811,0.596305944618216,0.056461027567600415,11,38,173,1.9622537078743453e-08,COMPLETE
77,0.5004730363592564,2025-06-12 19:52:12.486036,2025-06-12 19:58:11.310780,0 days 00:05:58.824744,0.6581182950710377,0.6656045507741665,0.011559998860014789,10,22,162,4.144965874070524e-08,COMPLETE
78,0.504029766628672,2025-06-12 19:58:11.311844,2025-06-12 20:03:08.553174,0 days 00:04:57.241330,0.9188978366537743,0.9572658325600621,0.09985925992864672,12,33,133,1.0327141649411524e-08,COMPLETE
79,0.5052888263072463,2025-06-12 20:03:08.554215,2025-06-12 20:08:12.997513,0 days 00:05:04.443298,0.9979206441560866,0.5253818402511095,0.06384508616084525,11,66,95,2.7964185993830895e-07,COMPLETE
80,0.5064695870614825,2025-06-12 20:08:12.998558,2025-06-12 20:13:44.833883,0 days 00:05:31.835325,0.9531399183767852,0.6435452076467031,0.041173053110117944,9,36,124,1.0400799154712204e-07,COMPLETE
81,0.5055006433665791,2025-06-12 20:13:44.834931,2025-06-12 20:19:08.631296,0 days 00:05:23.796365,0.9519160602300449,0.6442288680650763,0.049406557141446754,10,43,120,8.840851578969253e-08,COMPLETE
82,0.5054347086268629,2025-06-12 20:19:08.632353,2025-06-12 20:24:39.554725,0 days 00:05:30.922372,0.8905769384481774,0.6015546335883808,0.03555569740357263,9,37,100,2.0829899741599918e-07,COMPLETE
83,0.504976631805031,2025-06-12 20:24:39.555783,2025-06-12 20:30:04.002999,0 days 00:05:24.447216,0.9303200488371545,0.628514763723324,0.04144689655897376,9,47,126,5.956369681312889e-07,COMPLETE
84,0.5062163264078896,2025-06-12 20:30:04.004051,2025-06-12 20:35:22.098300,0 days 00:05:18.094249,0.8725952640409742,0.5560772887712581,0.04642617774872886,10,42,141,3.4022736190894546e-08,COMPLETE
85,0.5058682541366037,2025-06-12 20:35:22.099379,2025-06-12 20:40:50.527346,0 days 00:05:28.427967,0.8448647669432798,0.5561792226483887,0.03268438151592416,10,41,144,3.831233809164953e-08,COMPLETE
86,0.505542127349878,2025-06-12 20:40:50.528404,2025-06-12 20:46:05.162318,0 days 00:05:14.633914,0.868545353696702,0.5826550586893363,0.04512019120156586,11,28,149,1.200154702317195e-07,COMPLETE
87,0.5064906879221064,2025-06-12 20:46:05.163374,2025-06-12 20:52:00.194886,0 days 00:05:55.031512,0.7350526363721788,0.6184151991029636,0.022113383391607365,10,34,138,1.8740521431952986e-08,COMPLETE
88,0.5044180652593753,2025-06-12 20:52:00.195954,2025-06-12 20:57:09.956275,0 days 00:05:09.760321,0.6194133364111807,0.4817929880364395,0.04152905200958916,11,34,140,0.09784669154958368,COMPLETE
89,0.5047580668445751,2025-06-12 20:57:09.957330,2025-06-12 21:02:26.043821,0 days 00:05:16.086491,0.72840651588161,0.6155028448598432,0.03675073580883028,9,53,114,9.741421200316132e-07,COMPLETE
90,0.4968078738274893,2025-06-12 21:02:26.044884,2025-06-12 21:07:43.308340,0 days 00:05:17.263456,0.7588996187251079,0.6815946518091296,0.04869889406933747,4,42,169,2.432893166660434e-08,COMPLETE
91,0.5040853971306705,2025-06-12 21:07:43.309404,2025-06-12 21:13:12.591802,0 days 00:05:29.282398,0.8487717144866838,0.5421026423884416,0.025965284314094693,10,32,157,1.4451232288254546e-08,COMPLETE
92,0.5054891717217465,2025-06-12 21:13:12.592869,2025-06-12 21:19:00.928265,0 days 00:05:48.335396,0.8169994123341459,0.5748107140612465,0.023191818839179163,10,36,178,6.889603285811772e-08,COMPLETE
93,0.50458255647365,2025-06-12 21:19:00.929336,2025-06-12 21:24:54.332346,0 days 00:05:53.403010,0.9123448360059031,0.6042927911717154,0.02159193404071864,10,39,132,1.6819253357107858e-08,COMPLETE
94,0.505181379688642,2025-06-12 21:24:54.333413,2025-06-12 21:31:08.577323,0 days 00:06:14.243910,0.971644117204363,0.6440537498205339,0.01849527041374284,10,29,152,3.5376508826606485e-08,COMPLETE
95,0.5050838822483326,2025-06-12 21:31:08.578389,2025-06-12 21:37:04.828958,0 days 00:05:56.250569,0.8813066219737256,0.5073541634130448,0.016390024380820316,9,45,164,1.3973171044222336e-07,COMPLETE
96,0.5064028673878253,2025-06-12 21:37:04.830022,2025-06-12 21:42:42.740081,0 days 00:05:37.910059,0.8660324590768607,0.6215127925405145,0.030051429533731144,8,49,134,6.22252572161577e-08,COMPLETE
97,0.5055312735757888,2025-06-12 21:42:42.741154,2025-06-12 21:48:14.465088,0 days 00:05:31.723934,0.8337727312547175,0.6614000302786013,0.030327765751977837,8,49,105,3.831650364655281e-07,COMPLETE
98,0.505703104893394,2025-06-12 21:48:14.466192,2025-06-12 21:53:55.666084,0 days 00:05:41.199892,0.867456081282693,0.6189176420479701,0.027136998536912257,8,47,123,5.3516929987012066e-08,COMPLETE
99,0.5038841722657534,2025-06-12 21:53:55.667148,2025-06-12 21:59:13.297472,0 days 00:05:17.630324,0.6945323472952207,0.5295838731832703,0.03422566314432053,7,51,136,2.2760778541472858e-07,COMPLETE
100,0.4937685918713849,2025-06-12 21:59:13.298555,2025-06-12 22:03:46.657654,0 days 00:04:33.359099,0.7885121697764503,0.7081009874991454,0.23022854757286818,9,58,173,7.45381616650497e-08,COMPLETE
101,0.505852148824242,2025-06-12 22:03:46.658701,2025-06-12 22:09:46.209850,0 days 00:05:59.551149,0.8858266320805743,0.5622071054962468,0.018681837282928333,10,35,158,1.9425146161998585e-08,COMPLETE
102,0.5057419745831743,2025-06-12 22:09:46.210913,2025-06-12 22:15:04.735248,0 days 00:05:18.524335,0.8510284850067316,0.5905023397099806,0.03903021602255254,9,39,145,2.936556740958645e-08,COMPLETE
103,0.5072309229860694,2025-06-12 22:15:04.736319,2025-06-12 22:21:00.410991,0 days 00:05:55.674672,0.9557802021911441,0.6448253053379792,0.03180541601456244,11,43,150,1.0722301228522549e-08,COMPLETE
104,0.5057842346879977,2025-06-12 22:21:00.412051,2025-06-12 22:26:34.552471,0 days 00:05:34.140420,0.9533126553043493,0.6944419198794632,0.032767321810656135,12,42,136,4.333044600570624e-08,COMPLETE
105,0.5049776060004051,2025-06-12 22:26:34.553543,2025-06-12 22:32:05.036008,0 days 00:05:30.482465,0.8202106418152925,0.672302263680417,0.03034544258583265,11,45,129,1.5357218683454593e-06,COMPLETE
106,0.505403704175181,2025-06-12 22:32:05.037071,2025-06-12 22:37:29.063471,0 days 00:05:24.026400,0.9057859670561115,0.6425726465495696,0.040460565321588135,11,48,117,1.0313302895173572e-07,COMPLETE
107,0.5053823193949414,2025-06-12 22:37:29.064532,2025-06-12 22:42:39.309187,0 days 00:05:10.244655,0.8720725196109052,0.5825300609406072,0.055511932164419374,12,56,165,1.9856315895803887e-08,COMPLETE
108,0.5055897840976253,2025-06-12 22:42:39.310224,2025-06-12 22:47:53.943431,0 days 00:05:14.633207,0.804087955110232,0.631472738367913,0.04426133632498197,11,41,141,1.5393778947479814e-07,COMPLETE
109,0.5069657601923799,2025-06-12 22:47:53.944481,2025-06-12 22:53:54.083277,0 days 00:06:00.138796,0.9195293684875836,0.6186859563517033,0.0244337892099098,10,43,186,5.6112324783349745e-08,COMPLETE
110,0.5066907347303392,2025-06-12 22:53:54.084353,2025-06-12 23:00:01.843882,0 days 00:06:07.759529,0.9226084090503988,0.6553489706094924,0.02501981307046915,12,44,188,6.227991763002859e-08,COMPLETE
111,0.5059952288118461,2025-06-12 23:00:01.844990,2025-06-12 23:05:54.227526,0 days 00:05:52.382536,0.9259597576265319,0.6549744963721569,0.025516127846910507,11,51,186,5.541036005491909e-08,COMPLETE
112,0.5043022446926171,2025-06-12 23:05:54.228603,2025-06-12 23:11:44.456860,0 days 00:05:50.228257,0.9130643787059078,0.6284244300990798,0.028563929451031544,12,44,195,9.882652743377421e-08,COMPLETE
113,0.5056022077768649,2025-06-12 23:11:44.457935,2025-06-12 23:17:52.555916,0 days 00:06:08.097981,0.94191083195896,0.6191035984015554,0.02450988875575492,12,46,180,1.489659283789011e-08,COMPLETE
114,0.5061801994736801,2025-06-12 23:17:52.556991,2025-06-12 23:23:26.826976,0 days 00:05:34.269985,0.8925925923215638,0.6066536448448037,0.035944400449723655,12,43,154,3.434519805429059e-08,COMPLETE
115,0.5058236693692537,2025-06-12 23:23:26.828057,2025-06-12 23:28:53.230561,0 days 00:05:26.402504,0.9597505415452017,0.6528127317561305,0.04763724937364913,12,37,201,6.916764149075217e-08,COMPLETE
116,0.5060889977633448,2025-06-12 23:28:53.231620,2025-06-12 23:34:35.706321,0 days 00:05:42.474701,0.9007034977720505,0.641047693539191,0.031415001410418184,10,54,171,9.390240969597999e-05,COMPLETE
117,0.5052160306102643,2025-06-12 23:34:35.707381,2025-06-12 23:39:57.002869,0 days 00:05:21.295488,0.930832638789938,0.678331096198295,0.052475618478129135,10,39,215,4.612555862957643e-07,COMPLETE
118,0.5062232359344141,2025-06-12 23:39:57.003937,2025-06-12 23:45:41.040184,0 days 00:05:44.036247,0.9187977250419597,0.6105330643490754,0.027975297646951676,11,47,186,0.005516272877539717,COMPLETE
119,0.5050073157666535,2025-06-12 23:45:41.041274,2025-06-12 23:51:12.923920,0 days 00:05:31.882646,0.5484467261624814,0.623481088361703,0.027446332583403007,11,47,186,0.00279114465731504,COMPLETE
120,0.5023874538780717,2025-06-12 23:51:12.925005,2025-06-12 23:57:10.684237,0 days 00:05:57.759232,0.949431169013244,0.6677217012098827,0.02448254231327542,11,49,39,0.010645091190236943,COMPLETE
121,0.507335542853649,2025-06-12 23:57:10.685321,2025-06-13 00:03:17.523823,0 days 00:06:06.838502,0.9170294667645799,0.6046479136754972,0.029140556611211146,12,44,199,0.4777340917171173,COMPLETE
122,0.5061169294859962,2025-06-13 00:03:17.524882,2025-06-13 00:09:39.429076,0 days 00:06:21.904194,0.9189330570321729,0.609622665785856,0.020356753389109982,12,51,191,0.01011047262364425,COMPLETE
123,0.5045475186722232,2025-06-13 00:09:39.430163,2025-06-13 00:15:28.025975,0 days 00:05:48.595812,0.9351706720662017,0.5920133540314413,0.028287898691327074,12,44,199,0.49683383002606085,COMPLETE
124,0.505897805405276,2025-06-13 00:15:28.027057,2025-06-13 00:21:06.667163,0 days 00:05:38.640106,0.8849957779479455,0.6384361458692346,0.03253279358236577,12,40,227,0.021467426150921776,COMPLETE
125,0.5063331887532065,2025-06-13 00:21:06.668231,2025-06-13 00:26:47.849241,0 days 00:05:41.181010,0.9113405861419954,0.615381767394085,0.029953495658479722,12,62,189,0.0013190562221298478,COMPLETE
126,0.506660987504836,2025-06-13 00:26:47.850298,2025-06-13 00:32:21.971895,0 days 00:05:34.121597,0.8611233517205766,0.6558211732974104,0.03849112325217057,12,73,212,1.0047680824955473e-05,COMPLETE
